id_sorteio;numero
2900;50
2899;10
2898;14
2897;57
2896;12
2895;11
2894;49
2893;40
2892;54
2891;26
2890;16
2889;39
2888;3
2887;29
2886;2
2885;36
2884;52
2883;40
2882;49
2881;13
2880;54
2879;47
2878;15
2877;15
2876;31
2875;40
2874;17
2873;5
2872;32
2871;43
2870;19
2869;10
2868;51
2867;25
2866;36
2865;39
2864;17
2863;23
2862;44
2861;21
2860;57
2859;8
2858;18
2857;18
2856;5
2855;24
2854;44
2853;53
2852;6
2851;5
2850;26
2849;25
2848;29
2847;5
2846;16
2845;10
2844;58
2843;1
2842;55
2841;48
2840;33
2839;37
2838;32
2837;3
2836;42
2835;9
2834;39
2833;16
2832;21
2831;48
2830;28
2829;22
2828;59
2827;45
2826;60
2825;54
2824;57
2823;7
2822;39
2821;22
2820;42
2819;46
2818;12
2817;24
2816;48
2815;53
2814;17
2813;51
2812;18
2811;36
2810;1
2809;28
2808;24
2807;56
2806;5
2805;47
2804;31
2803;32
2802;32
2801;48
2800;13
2799;38
2798;18
2797;1
2796;3
2795;46
2794;20
2793;9
2792;22
2791;2
2790;29
2789;20
2788;52
2787;23
2786;20
2785;27
2784;27
2783;54
2782;11
2781;10
2780;9
2779;14
2778;40
2777;13
2776;5
2775;4
2774;38
2773;32
2772;33
2771;14
2770;60
2769;46
2768;33
2767;50
2766;44
2765;43
2764;34
2763;43
2762;40
2761;22
2760;39
2759;59
2758;60
2757;1
2756;6
2755;41
2754;56
2753;52
2752;4
2751;52
2750;19
2749;44
2748;43
2747;24
2746;43
2745;57
2744;26
2743;13
2742;32
2741;39
2740;47
2739;47
2738;19
2737;16
2736;17
2735;5
2734;21
2733;21
2732;16
2731;4
2730;24
2729;27
2728;25
2727;57
2726;49
2725;2
2724;11
2723;19
2722;19
2721;10
2720;23
2719;16
2718;30
2717;22
2716;20
2715;50
2714;52
2713;25
2712;42
2711;60
2710;5
2709;24
2708;28
2707;7
2706;10
2705;27
2704;7
2703;38
2702;13
2701;32
2700;1
2699;9
2698;45
2697;10
2696;59
2695;15
2694;58
2693;46
2692;9
2691;57
2690;55
2689;9
2688;17
2687;24
2686;20
2685;47
2684;46
2683;47
2682;30
2681;53
2680;42
2679;18
2678;10
2677;42
2676;22
2675;42
2674;14
2673;27
2672;56
2671;58
2670;21
2669;46
2668;1
2667;8
2666;30
2665;14
2664;52
2663;41
2662;17
2661;56
2660;12
2659;11
2658;39
2657;32
2656;24
2655;56
2654;36
2653;41
2652;29
2651;35
2650;29
2649;6
2648;56
2647;39
2646;18
2645;42
2644;49
2643;59
2642;50
2641;50
2640;4
2639;11
2638;34
2637;59
2636;42
2635;56
2634;32
2633;25
2632;38
2631;26
2630;26
2629;11
2628;40
2627;13
2626;59
2625;58
2624;37
2623;20
2622;60
2621;42
2620;6
2619;44
2618;48
2617;14
2616;35
2615;7
2614;13
2613;42
2612;54
2611;21
2610;34
2609;3
2608;52
2607;7
2606;10
2605;11
2604;46
2603;52
2602;16
2601;44
2600;60
2599;60
2598;60
2597;14
2596;51
2595;50
2594;49
2593;25
2592;15
2591;21
2590;28
2589;15
2588;57
2587;10
2586;59
2585;34
2584;5
2583;20
2582;14
2581;32
2580;13
2579;35
2578;50
2577;50
2576;38
2575;12
2574;44
2573;32
2572;7
2571;9
2570;50
2569;25
2568;16
2567;11
2566;11
2565;9
2564;32
2563;9
2562;51
2561;37
2560;17
2559;9
2558;18
2557;16
2556;6
2555;52
2554;48
2553;13
2552;33
2551;1
2550;10
2549;6
2548;9
2547;31
2546;23
2545;20
2544;45
2543;27
2542;55
2541;10
2540;41
2539;33
2538;20
2537;12
2536;33
2535;51
2534;44
2533;45
2532;18
2531;49
2530;30
2529;32
2528;56
2527;29
2526;16
2525;13
2524;43
2523;10
2522;40
2521;33
2520;60
2519;57
2518;60
2517;5
2516;8
2515;45
2514;45
2513;35
2512;34
2511;41
2510;8
2509;39
2508;58
2507;12
2506;22
2505;3
2504;44
2503;38
2502;20
2501;59
2500;5
2499;47
2498;46
2497;46
2496;38
2495;30
2494;10
2493;37
2492;42
2491;38
2490;46
2489;42
2488;17
2487;23
2486;17
2485;5
2484;14
2483;40
2482;35
2481;8
2480;50
2479;17
2478;17
2477;50
2476;7
2475;58
2474;56
2473;42
2472;36
2471;55
2470;33
2469;28
2468;35
2467;35
2466;13
2465;3
2464;24
2463;51
2462;45
2461;16
2460;16
2459;24
2458;51
2457;10
2456;40
2455;50
2454;24
2453;14
2452;51
2451;31
2450;15
2449;20
2448;35
2447;49
2446;1
2445;37
2444;37
2443;5
2442;41
2441;46
